Review,Relevant,id,embedding,cluster,membership_cluster_0,membership_cluster_1,membership_cluster_2,membership_cluster_3,membership_cluster_4,membership_cluster_5,membership_cluster_6,membership_cluster_7,membership_cluster_8,membership_cluster_9,membership_cluster_10
"And I want swift key to save the words I type.
",1,0,"[-0.1087199167731408, 0.11062249276257896]",1,0.013939416320904516,0.9223842212987376,0.027973036266294386,0.0009204643616174997,0.009308355323223168,0.0008827933333227439,0.005281276953066869,0.0005611869100056488,0.018223391946814247,0.0004462082445954677,7.964904141768793e-05
"I think it could do with a bit more customization...
",1,1,"[0.3686715249606584, 0.014191331624630925]",10,0.001977284297968736,0.0029049866408222577,0.010189879164968938,0.0029185836297006967,0.020790123064509967,0.4352341306983884,0.006453861044352968,0.01116846727517022,0.0033014226746516866,0.041487358641410926,0.4635739028680553
"And a few more settings for example, after I insert specific types of punctuation it sometimes put a space after..It would be good to be able to turn that off.
",1,2,"[0.02319292905603366, -0.0618048135817509]",4,0.00016878781778719015,0.0007683051514175827,0.000880817716629937,0.0015448932223629914,0.9451628905111792,0.0025574283785370832,0.04168557260154542,0.00361339803721006,0.0034349280117457887,0.00012485196711969503,5.812658446542197e-05
"Also another good one is being able to make the space bar bigger by removing the smiley key on the bottom right making the keyboard bigger.
",1,3,"[0.03801530562457041, 0.22924571613598102]",2,0.0015108728532655222,0.001197854537831349,0.9941270579076992,6.136984953825938e-05,0.0009326495797056459,0.00041393404523201293,0.0002296704164538461,7.378880289398755e-05,0.0002705972952493974,0.0011349356648293536,4.7269047301462874e-05
"I really would like to see Chinese language integration to be developed.
",1,4,"[0.2040634978659919, -0.28722356746997624]",7,0.0016928950675152296,0.003759372612000072,0.004863389736188375,0.030576973738108585,0.03485747111413851,0.06640425479105463,0.03274238359129545,0.8034192866866278,0.009745051987925777,0.0033821220828043536,0.008556798592341163
"Very annoying to switch with other input methods.
",1,5,"[-0.03239720075612411, -0.017775964988969845]",4,0.0013789834419230527,0.010276746603913495,0.006753695385796586,0.005120270543754523,0.727993599386901,0.004014478146783773,0.18578884129434486,0.004462609647233224,0.05357879953281497,0.0004748269033943319,0.00015714911314020574
"Does not work with S-Pen on Galaxy Note 2
",1,6,"[-0.10819781392840659, -0.05981297553186877]",8,0.0004107618016424121,0.0039378538710529674,0.000854755644224421,0.0058167347934854115,0.010867356875563937,0.00047479036591722724,0.29751535172820215,0.0013767735581399563,0.6786311244261605,8.182937873738536e-05,3.26675568737474e-05
"I love the keyboards and what not it looks so awesome but just need some more themes to choose from or more customization choices.
",1,7,"[0.36767134326970113, 0.36865149906019107]",9,0.003255689291361901,0.0025244341731323126,0.012404227095232688,0.00084991791297986,0.004514516319795244,0.01033596992523426,0.0017989615657596169,0.0014710642176999984,0.0015237630794204932,0.9448711344112463,0.016450322008137515
"Last time it was smileys/predictions without spaces messing up other languages than english.
",1,8,"[-0.06616776908351478, -0.2706955231612454]",3,0.00017552286281974903,0.0006023827873447025,0.00033051115326166217,0.9225933884989589,0.0030119811327290495,0.0007994092532799032,0.023099244938675517,0.04458951718067822,0.0046160544502691185,9.626668761017178e-05,8.572105437300674e-05
"Used to work perfect but after i had accidentally deleted it, can't get it to work again after reinstall.
",1,9,"[-0.20129565994421741, -0.0830457883013346]",8,0.0006320675609009377,0.005346594273616362,0.0006683161444362289,0.01162558487504259,0.0027856101873210653,0.0003177447105747946,0.026290024795952088,0.0010829019398497113,0.9511348997736064,8.135098391443385e-05,3.490475478555338e-05
"It WAS awesome until the layout was changed.
",1,10,"[0.11543186151644218, 0.014271263047750747]",4,0.0015630056022065569,0.004209661485485779,0.01897440032064959,0.0026421523132635566,0.63505684597694,0.30143228746658546,0.01639903239008458,0.008449092615552184,0.005796703436377239,0.00416121450028716,0.0013156038925677827
"It may work for large displays but NOT phones with cases on them!
",1,11,"[0.03919208252048072, -0.0721305596150713]",4,0.0002836438690817401,0.0011697176800437596,0.001477274908013411,0.0029228274957531866,0.917276248757606,0.0066755365461332004,0.055167073829225935,0.009844505752448942,0.004802872727851089,0.0002508174902319443,0.0001294809436107551
"I hate the new slide punctuation bar!
",1,12,"[0.0370416189211161, -0.06765575687322824]",4,0.00021375363318934908,0.0008962042946205936,0.0011371468939968229,0.002034605307309629,0.940498573105574,0.004709956054125081,0.04028313301003442,0.006311047530197514,0.0036391020632261534,0.00018443435537678383,9.20437523495622e-05
"Bring smaller space bar back!
",1,13,"[0.08739544624126469, 0.00998006185027629]",4,0.0006129260898971282,0.0019147140692116515,0.007305680628728161,0.001122629951060788,0.9325105280250051,0.04035092502801004,0.008769684668051515,0.003124525554497701,0.0028897590930147413,0.0010707537355094283,0.0003278731570138158
"You need to add something to allow us to edit the prediction word database. This way, we can manually erase unwanted crap, periods & commas!!!
",1,14,"[0.021213541558547724, -0.22461454650753965]",7,6.613233036702478e-05,0.00021939504542217288,0.00017317427691351299,0.013570172263011307,0.002953008378332311,0.0008280385557339224,0.012273240084562712,0.9685284450341635,0.0012801585337545531,5.464031064593057e-05,5.3595187092871995e-05
"When your in messages and lock the screen, once you turn it back on the suggestions are gone and you have to close and re open SwiftKey.
",1,15,"[-0.16247666146140302, 0.1276869074061686]",1,1.0063662094967715e-05,0.9999785155964126,3.6140063613863344e-06,2.48350596322665e-07,1.1957515121883657e-06,1.6288206142160165e-07,1.030719519205297e-06,1.2585210744921484e-07,4.923836019768197e-06,1.0020206725968505e-07,1.9141247761057646e-08
"Everytime I turn my phone off or restart it it goes back to default keyboard and I have to keep activating this one...
",1,16,"[-0.22751403068679815, 0.2864613597103964]",0,0.9887806657864241,0.008040755318634718,0.0017303316845893675,9.272169854150751e-05,0.000281796794150691,8.897453274263704e-05,0.00022309900349617385,5.659280035401612e-05,0.0005644974092055845,0.00012169639148230759,1.8868580378877285e-05
"Great app but without emoji support its only sub par
",1,17,"[0.04939191187018885, -0.04425735883898548]",4,3.313566320414214e-05,0.00013275182834947586,0.00021868151736646366,0.00018170385931976383,0.9948102100104048,0.0009495752133382591,0.002688203423850833,0.0005386036033819607,0.0004000329214719119,3.2713523590543504e-05,1.4388435721818588e-05
"Im not fond of the fact, i have to constantly switch to go keyboard for Chinese either,  over rated.
",1,18,"[-0.06035859739837148, 0.06169713505450951]",1,0.020905948865776243,0.29019668673548643,0.13186727533556233,0.008412653181453894,0.2876933693923631,0.0102853452097904,0.0847968493769934,0.00621333189012148,0.1561439574223819,0.0028835396866204394,0.0006010429034505522
"Wish I could customize the layout, then I would give 5 stars.
",1,19,"[0.28135290595842044, 0.027945101474854905]",5,0.0005422047263251388,0.0008811628636308386,0.0038730781076994473,0.0007504458933402124,0.009996455840395138,0.9560782851247281,0.0020912918451134054,0.002954009412875629,0.0009935388848405062,0.010046688890610368,0.011792838410440997
"Awesome keyboard just lags with Google takes forever to show up.
",1,20,"[-0.19224717482784373, 0.27097985597472113]",0,0.9998744295881213,9.229059106811588e-05,2.1154984070197072e-05,6.957483066018836e-07,2.5647096643523484e-06,7.587114587141343e-07,1.8445520742433328e-06,4.43410981171932e-07,4.6302629217513665e-06,1.0408526671297354e-06,1.4658866623358765e-07
"I like how you did pumpkin for Halloween can we get a Christmas theme.
",1,21,"[0.3874623374681788, -0.04482597808009149]",10,0.0018522642208324523,0.0028567907167776725,0.008202939467765045,0.0037934709443306655,0.02085491495410953,0.35060347124329605,0.0075611744373589515,0.016882289896142377,0.0036459456331578207,0.023255307115699723,0.5604914313705297
"Because of missing of Macedonian language!
",1,22,"[0.02855422030814888, -0.2909405020518742]",7,0.00014962034926391344,0.0004361635667902321,0.0003434229864803401,0.030211976801158818,0.00348274212102746,0.0015959916183456429,0.010798410331678124,0.9505964974490695,0.0020944364398032193,0.00013217684827594668,0.00015856148810697762
"Ever since the jellybean update,  you have to exit the messaging application and open it up again for word prediction to work..
",1,23,"[-0.22552956772047075, -0.1523195368475055]",8,0.003439788243268212,0.018286069191286385,0.003631036807376589,0.3561765057617268,0.015408149674317934,0.002514663596050895,0.14244628318238264,0.013003530071831136,0.44415572466065584,0.0006152927426795458,0.00032295606842402226
"I also don't like that you can't use swear words.
",1,24,"[0.03624737160686735, -0.17415099993820743]",7,0.00034030538079890185,0.0011974207554198144,0.0010793603620560636,0.02612963835549501,0.03447361834058487,0.006316943811221841,0.09723812938401535,0.8259344429318004,0.00672589797967302,0.0003032773972649975,0.000260965301669561
"I'm 23, please let me use what words I want to use.
",1,25,"[0.12860895103653766, -0.20954274927353012]",7,0.000176717554606432,0.00047199094624700766,0.000591360672336754,0.00481835279626133,0.00909757354035487,0.009422162996925727,0.00829895986293377,0.9648885097172029,0.001543359839987553,0.0002815955024652099,0.0004094165706785475
